#ARTICULO	COSTO	F	D	U0	COSTOL	DI	DC	Q	CLAV	U1	L1	PRC1	U2	L2	PRC2	U3	L3	PRC3	PRECIO1	PRECIO2	PRECIO3	FECPRE	IMPORTE	CANTIDAD	CLPR	FAL	CAN	OBSER	IP
ABRA C/TOR.19MM 3/4 INOX. 29-31	26				26	0	0		E939	PZ	B	1.5			0			0	39	0	0	9-May-16							
ABRA C/TOR.25MM 1  INOX. 32-35	30	A	A		30	0	0		6560	PZ	B	1.5			0			0	45	0	0	9-May-16	0	0	LI				
ABRA C/TOR.32MM 1-1/4 INOX. 36-39	33	A			33	0	0		B729	PZ	Y	1.6			0			0	52.8	0	0	17-Mar-16							
ABRA C/TOR.32MM 1-1/4 INOX. 40-43	35.33	H	D1		35.33	0	0		2834	PZ	B	1.5			0			0	53	0	0	24-Mar-16	0	0			8		
ABRA C/TOR.38MM 1 1/2 INOX. 52-55  	37.35	A			46	16	30		A629	PZ	B	1.5			0			0	56.03	0	0	17-Dec-15							
ABRA C/TOR.38MM 1 1/2" REFORZ....	12				12	0	0		E503	PZ	B	1.5			0			0	18	0	0	1-Jul-15							
ABRA C/TOR.38MM 1 1/2".............	9	A			9	0	0	A	1622	PZ	G	2			0			0	18	0	0	8-Feb-12	0	0	VV				
ABRA C/TOR.50MM 2 "REFORZ....	19	A			19	0	0		D809	PZ	B	1.5			0			0	28.5	0	0	3-Jul-15							
ABRA C/TOR.50MM 2"..............	12	P	AF		12	0	0	A	5889	PZ	D	1.7			0			0	20.4	0	0	2-Jul-12							
ABRA C/TOR.50MM 2"INOX 56-59	38.16	H	D1		47	16	30	A	8362	PZ	A	1.4			0			0	53.42	0	0	17-Dec-15	0	0					
ABRA C/TOR.50MM 2"INOX. 60-63 .....	35.2	A			43.35	16	30		A287	PZ	B	1.5			0			0	52.8	0	0	11-Apr-14							
ABRA C/TOR.50MM 3"INOX. 80-85	49.65	H	D1		61.15	16	30		7585	PZ	A	1.4			0			0	69.51	0	0	22-Feb-13	0	0					
ABRA C/TOR.75MM 3"..........	13.5	P	AF		13.5	0	0		5890	PZ	D	1.7			0			0	22.95	0	0	20-Oct-11							
ABRA C/TOR.99MM 4"	15.5	C			15.5	0	0		8492	PZ	D	1.7			0			0	26.35	0	0	20-Oct-11				 			
ABRA C/TOR.DIXON INOX.C/MED	5				5	0	0	A	D942	PZ	Q	3			0			0	15	0	0	23-Sep-14							
ABRA EN U 13  1/4 X 1/2" ( 2.6cm.)	1.11	T			5.67	15	83		9690	PZ	Q	2.5			0			0	2.78	0	0	6-Mar-09							
ABRA EN U 19  1/4 X 3/4  ( 3CM.)	1.37	T			7.03	15	83		9689	PZ	Q	2.5			0			0	3.43	0	0	6-Mar-09							
ABRA EN U 25  14  X  1   ( 3.6cm )	1.5	A			1.5	0	0		B234	PZ	Q	2.5			0			0	3.75	0	0	28-Jun-11							
